province,organism,antibiotic,specimen,sector,year,n_tested,percent_resistant
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Wound,Public,2023,194,21.7
Eastern Cape,Pseudomonas aeruginosa,Meropenem,Wound,Public,2024,286,21.3
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2022,358,27.6
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2023,221,29.0
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Blood,Public,2024,164,31.1
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2022,111,31.3
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2023,169,29.6
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Respiratory,Public,2024,127,31.9
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2022,220,29.3
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2023,262,29.1
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Urine,Public,2024,390,29.7
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2022,221,28.7
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2023,97,31.6
Eastern Cape,Pseudomonas aeruginosa,Piperacillin-tazobactam,Wound,Public,2024,378,29.9
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2022,82,19.9
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2023,60,22.5
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Blood,Public,2024,335,22.9
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2022,319,24.0
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2023,269,23.3
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Respiratory,Public,2024,416,24.3
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2022,439,22.4
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2023,160,23.5
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Urine,Public,2024,95,23.4
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2022,229,23.7
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2023,399,23.7
Eastern Cape,Staphylococcus aureus,Amoxicillin-clavulanate,Wound,Public,2024,428,25.4
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Blood,Public,2022,72,18.0
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Blood,Public,2023,230,16.9
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Blood,Public,2024,270,19.7
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Respiratory,Public,2023,397,19.0
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Respiratory,Public,2024,228,19.9
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Urine,Public,2022,436,18.7
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Urine,Public,2023,196,19.8
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Urine,Public,2024,419,18.8
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Wound,Public,2022,79,17.2
Eastern Cape,Staphylococcus aureus,Ceftriaxone,Wound,Public,2023,173,20.4
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2022,339,23.0
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2023,249,21.4
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Blood,Public,2024,135,24.1
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Respiratory,Public,2023,181,23.8
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Respiratory,Public,2024,150,26.9
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2022,81,22.6
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2023,80,23.3
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Urine,Public,2024,167,26.0
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2022,401,23.9
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2023,346,23.1
Eastern Cape,Staphylococcus aureus,Ciprofloxacin,Wound,Public,2024,268,26.5
Eastern Cape,Staphylococcus aureus,Meropenem,Blood,Public,2022,125,8.2
Eastern Cape,Staphylococcus aureus,Meropenem,Blood,Public,2023,400,8.9
Eastern Cape,Staphylococcus aureus,Meropenem,Blood,Public,2024,406,12.2
Eastern Cape,Staphylococcus aureus,Meropenem,Respiratory,Public,2022,286,10.7
Eastern Cape,Staphylococcus aureus,Meropenem,Respiratory,Public,2023,321,12.4
Eastern Cape,Staphylococcus aureus,Meropenem,Respiratory,Public,2024,436,12.8
Eastern Cape,Staphylococcus aureus,Meropenem,Urine,Public,2022,149,10.6
Eastern Cape,Staphylococcus aureus,Meropenem,Urine,Public,2023,214,11.2
Eastern Cape,Staphylococcus aureus,Meropenem,Urine,Public,2024,60,11.6
Eastern Cape,Staphylococcus aureus,Meropenem,Wound,Public,2022,167,9.7
Eastern Cape,Staphylococcus aureus,Meropenem,Wound,Public,2023,356,11.1
Eastern Cape,Staphylococcus aureus,Meropenem,Wound,Public,2024,224,12.7
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Blood,Public,2022,95,17.2
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Blood,Public,2023,202,20.2
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Respiratory,Public,2022,283,20.7
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Respiratory,Public,2023,321,21.2
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Respiratory,Public,2024,355,20.7
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2022,334,18.5
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2023,74,19.3
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Urine,Public,2024,193,19.7
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2022,195,18.4
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2023,365,19.0
Eastern Cape,Staphylococcus aureus,Piperacillin-tazobactam,Wound,Public,2024,433,21.1
Free State,E. coli,Amoxicillin-clavulanate,Blood,Public,2022,92,22.6
Free State,E. coli,Amoxicillin-clavulanate,Blood,Public,2023,229,22.8
Free State,E. coli,Amoxicillin-clavulanate,Blood,Public,2024,272,24.1
Free State,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2022,274,24.8
Free State,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2023,436,25.1
Free State,E. coli,Amoxicillin-clavulanate,Respiratory,Public,2024,368,26.2
Free State,E. coli,Amoxicillin-clavulanate,Urine,Public,2022,275,21.7
Free State,E. coli,Amoxicillin-clavulanate,Urine,Public,2023,359,23.7
Free State,E. coli,Amoxicillin-clavulanate,Urine,Public,2024,70,26.4
Free State,E. coli,Amoxicillin-clavulanate,Wound,Public,2022,354,24.6
Free State,E. coli,Amoxicillin-clavulanate,Wound,Public,2023,63,24.2
Free State,E. coli,Amoxicillin-clavulanate,Wound,Public,2024,212,26.8
Free State,E. coli,Ceftriaxone,Blood,Public,2022,62,18.5
Free State,E. coli,Ceftriaxone,Blood,Public,2023,114,20.2
Free State,E. coli,Ceftriaxone,Blood,Public,2024,172,20.9
Free State,E. coli,Ceftriaxone,Respiratory,Public,2022,373,21.2
Free State,E. coli,Ceftriaxone,Respiratory,Public,2023,318,22.0
Free State,E. coli,Ceftriaxone,Respiratory,Public,2024,340,21.8
Free State,E. coli,Ceftriaxone,Urine,Public,2022,416,18.0
Free State,E. coli,Ceftriaxone,Urine,Public,2023,85,20.1
Free State,E. coli,Ceftriaxone,Urine,Public,2024,122,21.2
Free State,E. coli,Ceftriaxone,Wound,Public,2022,297,19.4
Free State,E. coli,Ceftriaxone,Wound,Public,2023,346,21.0
Free State,E. coli,Ceftriaxone,Wound,Public,2024,446,21.8
Free State,E. coli,Ciprofloxacin,Blood,Public,2022,323,21.8
Free State,E. coli,Ciprofloxacin,Blood,Public,2024,444,24.5
Free State,E. coli,Ciprofloxacin,Respiratory,Public,2022,427,25.2
Free State,E. coli,Ciprofloxacin,Respiratory,Public,2023,313,26.6
Free State,E. coli,Ciprofloxacin,Respiratory,Public,2024,135,26.7
Free State,E. coli,Ciprofloxacin,Urine,Public,2022,218,23.2
Free State,E. coli,Ciprofloxacin,Urine,Public,2023,161,24.2
Free State,E. coli,Ciprofloxacin,Urine,Public,2024,83,25.0
Free State,E. coli,Ciprofloxacin,Wound,Public,2022,303,23.8
Free State,E. coli,Ciprofloxacin,Wound,Public,2023,97,25.9
Free State,E. coli,Ciprofloxacin,Wound,Public,2024,382,26.4
Free State,E. coli,Meropenem,Blood,Public,2022,309,11.2
Free State,E. coli,Meropenem,Blood,Public,2023,283,10.2
Free State,E. coli,Meropenem,Blood,Public,2024,259,12.0
Free State,E. coli,Meropenem,Respiratory,Public,2022,389,10.6
Free State,E. coli,Meropenem,Respiratory,Public,2023,296,12.8
Free State,E. coli,Meropenem,Respiratory,Public,2024,193,13.1
Free State,E. coli,Meropenem,Urine,Public,2022,407,10.5
Free State,E. coli,Meropenem,Urine,Public,2023,430,12.9
Free State,E. coli,Meropenem,Urine,Public,2024,299,12.0
Free State,E. coli,Meropenem,Wound,Public,2022,378,12.8
Free State,E. coli,Meropenem,Wound,Public,2023,261,12.6
Free State,E. coli,Meropenem,Wound,Public,2024,399,13.8
Free State,E. coli,Piperacillin-tazobactam,Blood,Public,2022,141,18.9
Free State,E. coli,Piperacillin-tazobactam,Blood,Public,2023,303,20.7
Free State,E. coli,Piperacillin-tazobactam,Blood,Public,2024,444,20.9
Free State,E. coli,Piperacillin-tazobactam,Respiratory,Public,2022,101,22.2
Free State,E. coli,Piperacillin-tazobactam,Respiratory,Public,2023,178,20.9
Free State,E. coli,Piperacillin-tazobactam,Respiratory,Public,2024,138,22.7
Free State,E. coli,Piperacillin-tazobactam,Urine,Public,2022,386,19.3
Free State,E. coli,Piperacillin-tazobactam,Urine,Public,2023,326,20.4
Free State,E. coli,Piperacillin-tazobactam,Urine,Public,2024,182,22.0
Free State,E. coli,Piperacillin-tazobactam,Wound,Public,2022,99,19.8
Free State,E. coli,Piperacillin-tazobactam,Wound,Public,2023,180,22.2
Free State,E. coli,Piperacillin-tazobactam,Wound,Public,2024,223,21.8
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2022,282,30.6
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Blood,Public,2024,198,33.4
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2022,297,31.2
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2023,402,33.2
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Respiratory,Public,2024,74,33.7
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2022,335,31.4
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2023,298,32.8
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Urine,Public,2024,434,32.8
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2022,225,31.8
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2023,104,33.6
Free State,Klebsiella pneumoniae,Amoxicillin-clavulanate,Wound,Public,2024,290,32.9
Free State,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2022,124,25.0
Free State,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2023,118,26.9
Free State,Klebsiella pneumoniae,Ceftriaxone,Blood,Public,2024,171,28.2
Free State,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2022,252,28.2
Free State,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2023,426,28.7
Free State,Klebsiella pneumoniae,Ceftriaxone,Respiratory,Public,2024,363,29.1
Free State,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2022,191,26.9
Free State,Klebsiella pneumoniae,Ceftriaxone,Urine,Public,2023,145,28.8
Free State,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2022,143,28.2
Free State,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2023,115,29.9
Free State,Klebsiella pneumoniae,Ceftriaxone,Wound,Public,2024,219,29.8
Free State,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2022,168,30.7
Free State,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2023,232,31.9
Free State,Klebsiella pneumoniae,Ciprofloxacin,Blood,Public,2024,254,33.8
Free State,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2022,75,31.6
Free State,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2023,162,35.4
Free State,Klebsiella pneumoniae,Ciprofloxacin,Respiratory,Public,2024,378,36.0
Free State,Klebsiella pneumoniae,Ciprofloxacin,Urine,Public,2022,275,31.4
